type	name	githubLink	liveLink	status	description
chrome	Zeer Praktische Klok Versie 1.2	https://github.com/KarelTestSpecial/very-practical-clock	https://chromewebstore.google.com/detail/very-practical-clock/ncooonkkjoeikgkbbljefnmhldpgdpdn	active	Een Chrome extensie.
chrome	Battery Percentage Versie 1.0	https://github.com/KarelTestSpecial/battery-percentage	https://chromewebstore.google.com/detail/bcknfhofonlfillmlonppglflhgdbeoa	active	Een Chrome extensie.
chrome	New Tab Organizer 1.1	https://github.com/KarelTestSpecial/startpage	https://chromewebstore.google.com/detail/new-tab-organizer/llhggelkoodddbgmnmfplcmchbbkkjpk	active	Een Chrome extensie.
chrome	Google AI Studio - File Reader	https://github.com/KarelTestSpecial/aistudioreader	https://chromewebstore.google.com/detail/google-ai-studio-file-rea/holadmfpcclmpmkdkmcanifihneflfop	active	Een Chrome extensie.
chrome	NotebookLM Source Uploader Versie 1.2	https://github.com/KarelTestSpecial/notebooklm-source-loader	https://chromewebstore.google.com/detail/notebooklm-source-uploade/cflibmhmbbbnkjhobikinkkabplcijdj	active	Een Chrome extensie.
chrome	YouTube Playlist Collector	https://github.com/KarelTestSpecial/youtube-collector-csv	https://chromewebstore.google.com/detail/youtube-playlist-collecto/noadbldckkkcfkhghjehpdldgppbggde	active	Een Chrome extensie.
chrome	Youtube Rightclick	https://github.com/KarelTestSpecial/youtube-rightclick-csv	https://chromewebstore.google.com/detail/youtube-rightclick/dceebkineaajkfponfimilfebkgbcchh	active	Een Chrome extensie.
github	URL-pulse	https://github.com/KarelTestSpecial/url-pulse	https://kareltestspecial.github.io/url-pulse/	inactive	Een GitHub project.
github	Custom Data Tree	https://github.com/KarelTestSpecial/custom-data-tree/	https://kareltestspecial.github.io/custom-data-tree/	active	Een GitHub project.
github	Longevity Food Health data tree	https://github.com/KarelTestSpecial/LFH/	https://kareltestspecial.github.io/LFH/	active	Een GitHub project.
github	Link-in-bio-Hub	https://github.com/KarelTestSpecial/link-in-bio-hub-repo	https://linkinbiohub.web.app	inactive	Een GitHub project.
github	YouTube Playlist Collector	https://github.com/KarelTestSpecial/youtube-collector-sheets			Een GitHub project.
github	YouTube Playlist 2-Way Collector	https://github.com/KarelTestSpecial/youtube-2way-collector			Een GitHub project.
github	OCR combi	https://github.com/KarelTestSpecial/ocr-combi-addon			Een GitHub project.
github	Vegan BioTech Report	https://github.com/profdrkdc/Vegan-BioTech-Report	https://profdrkdc.github.io/Vegan-BioTech-Report/	active	Een GitHub project.
website	Portfolio		https://kareltestspecial.github.io/portfolio/	active	Mijn portfolio website.
website	AutiWiki		https://autiwiki.com	active	Een wiki over autisme.
website	Longevity & Health Optimization		https://longevity-aaczmm.manus.space/	active	L&H door Manus.im